station_line,station,linename,objectid
14 ST-UNION SQ456LNQRW,14 ST-UNION SQ,456LNQRW,379
14 ST-UNION SQ456LNQRW,14 ST-UNION SQ,456LNQRW,384
14 ST-UNION SQLNQR456W,14 ST-UNION SQ,LNQR456W,105
14 ST-UNION SQLNQR456W,14 ST-UNION SQ,LNQR456W,379
14 ST-UNION SQLNQR456W,14 ST-UNION SQ,LNQR456W,384
161/YANKEE STAD4BD,161/YANKEE STAD,4BD,48
161/YANKEE STADBD4,161/YANKEE STAD,BD4,48
168 ST1AC,168 ST,1AC,58
168 ST1AC,168 ST,1AC,177
168 STAC1,168 ST,AC1,58
168 STAC1,168 ST,AC1,177
174-175 STSBD,174-175 ST,SBD,21
182-183 STSBD,182-183 ST,SBD,20
21 ST-QNSBRIDGEF,21 ST-QNSBRIDGE,F,346
21 STG,21 ST,G,154
23 STFM,23 ST,FM,365
23 STNR,23 ST,NR,380
3 AVE 138 ST6,3 AVE 138 ST,6,27
3 AV 138 ST6,3 AV 138 ST,6,27
3 AVE-149 ST25,3 AVE-149 ST,25,290
3 AV-149 ST25,3 AV-149 ST,25,290
33 ST-RAWSON ST7,33 ST-RAWSON ST,7,293
34 ST-HERALD SQBDFMNQRW,34 ST-HERALD SQ,BDFMNQRW,145
34 ST-HERALD SQBDFMNQRW,34 ST-HERALD SQ,BDFMNQRW,366
36 AVNQ,36 AV,NQ,78
36 AVNQW,36 AV,NQW,78
39 AVNQ,36 AV,NQ,155
39 AVNQW,36 AV,NQW,155
4 AV-9 STDFGMNR,4 AV-9 ST,,374
4 AV-9 STDFGMNR,4 AV-9 ST,,382
40 ST LOWERY ST7,,,294
42 ST-PORT AUTHACENGRS1237,,,362
42 ST-PORT AUTHACENGRS1237W,,,362
42 ST-PORT AUTHACENQRS1237,,,362
42 ST-PORT AUTHACENQRS1237W,,,362
46 ST BLISS ST7,,,239
47-50 STS ROCKBDFM,,,349
49 STNQR,,,354
49 STNQRW,,,354
4AV-9 STDFGMNR,,,382
4AV-9 STDFGMNR,,,354
5 AV/53 STEM,,,142
5 AV/59 STNQR,,,356
5 AV/59 STNQRW,,,356
5 AVE7BDFM,,,466
52 ST7,,,236
57 ST-7 AVNQRW,,,355
59 ST COLUMBUS1ABCD,,,94
59 ST COLUMBUSABCD1,,,353
59 ST COLUMBUS1ABCD,,,353
59 ST COLUMBUSABCD1,,,94
59 ST456NQRW,,,357
59 ST456NQRW,,,49
59 STNQR456,,,49
59 STNQR456,,,357
59 STNQR456W,,,49
59 STNQR456W,,,357
59 STNRW,,,387
61 ST WOODSIDE7,,,54
68ST-HUNTER CO6,,,102
69 ST7,,,230
7 AVBDE,,,348
7 AVFG,,,108
74 ST-BROADWAY7EFMR,,,231
74 ST-BROADWAY7EFMR,,,438
75 ST-ELDERTSJZ,,,229
8 ST-NYUNR,,,401
8 ST-NYUNRW,,,401
80 STA,,,465
85 ST-FOREST PKJ,,,207
88 STA,,,460
9TH STREET1,,,
AQUEDUCT N.CONDA,,,243
AQUEDUCT RACETRA,,,124
ASTOR PL6,,,1
ASTORIA BLVDNQ,,,251
ASTORIA BLVDNQW,,,251
ASTORIA DITMARSNQ,,,252
ASTORIA DITMARSNQW,,,252
ATL AV-BARCLAY2345BDNQR,,,116
ATL AV-BARCLAY2345BDNQR,,,121
ATL AV-BARCLAY2345BDNQR,,,122
ATL AV-BARCLAYBDNQR2345,,,116
ATL AV-BARCLAYBDNQR2345,,,121
ATL AV-BARCLAYBDNQR2345,,,122
AVENUE JBQ,,,343
AVENUE MBQ,,,340
AVENUE UBQ,,,329
B'WAY-LAFAYETTEBDFQ6,,,433
BAY PKWYD,,,314
BAY PKWYF,,,339
BAY PKWYN,,,341
BEDFORD PK BLVD4,,,260
BEDFORD PK BLVDBD,,,265
BEDFORD-NOSTRANG,,,106
BEVERLY RD25,,,130
BOROUGH HALL2345R,,,406
BOROUGH HALL2345R,,,123
BOROUGH HALLR2345,,,123
BOROUGH HALLR2345,,,406
BRIARWOODEF,,,244
BROADWAY JCTACJLZ,,,386
BROADWAY JCTACJLZ,,,283
BROADWAY JCTACJLZ,,,224
BROADWAYNQ,,,79
BROADWAYNQW,,,79
CANAL STJNQRZ6W,,,417
CANAL STJNQRZ6W,,,415
CANAL STJNQRZ6W,,,2
CANARSIE-ROCKAWL,,,219
CATHEDRAL PKWY1,,,166
CATHEDRAL PKWYBC,,,7
CENTRAL PK N11023,,,160
CITY / BUS1,,,
CITY HALLNRW,,,416
CITY HALLR,,,416
CONEY IS-STILLWDFNQ,,,469
CORTELYOU RDBQ,,,461
CORTLANDT STRNW,,,429
DELANCEY/ESSEXFJMZ,,,370
DELANCEY/ESSEXFJMZ,,,11
DYCKMAN STA,,,431
E 143/ST MARY'S6,,,258
EASTCHSTER/DYRE5,,,278
EASTN PKWY-MUSM23,,,129
FLATBUSH AV-B.C25,,,133
FLUSHING-MAIN7,,,25
FORDHAM RD4,,,408
FORDHAM RDBD,,,263
FOREST HILLS 71EFMR,,,245
FRESH POND RDM,,,423
GRAND-NEWTOWNMR,,,68
GRD CNTRL-42 ST4567S,,,31
GRD CNTRL-42 ST4567S,,,204
GRD CNTRL-42 ST4567S,,,81
GUN HILL RD25,,,40
GUN HILL RD5,,,284
HARLEM 148 ST3,,,261
HOWARD BCH JFKA,,,242
HOYT-SCHERACG,,,367
INTERVALE AV25,,,19
JAMAICA 179 STF,,,279
JAMAICA VAN WKE,,,63
JKSN HT-ROOSVLTEFMR7,,,231
JKSN HT-ROOSVLTEFMR7,,,438
KEW GARDENSEF,,,64
KINGS HWYBQ,,,330
KINGS HWYF,,,326
KINGS HWYN,,,332
LEXINGTON AV/53EM6,,,143
LEXINGTON AV/63F,,,351
LORIMER STLG,,,72
MIDDLETOWN RD6,,,91
MORISN AV/SNDVW6,,,51
MOSHOLU PKWY4,,,274
MYRTLE-WYCKOFFLM,,,212
MYRTLE-WYCKOFFLM,,,233
NASSAU STG,,,137
NECK RDBQ,,,345
NEW LOTSL,,,223
NEWKIRK PLAZABQ,,,113
NORWOOD 205 STD,,,275
OCEAN PKWYQ,,,100
OZONE PK LEFFRTA,,,196
PARKCHESTER6,,,463
PELHAM PKWY25,,,39
PELHAM PKWY5,,,126
PRINCE STNR,,,400
PRINCE STNRW,,,400
QUEENSBORO PLZ7NQW,,,103
RECTOR STNRW,,,422
ROCKAWAY PARK BAS,,,184
ROOSEVELT ISLNDF,,,352
SOUTH FERRY1R,,,418
SOUTH FERRY1RW,,,418
SUTPHIN-ARCHERE,,,65
SUTPHIN-ARCHEREJZ,,,65
SUTTER AV-RUTLD3,,,222
TIMES SQ-42 ST1237ACENQRS,,,80
TIMES SQ-42 ST1237ACENQRS,,,147
TIMES SQ-42 ST1237ACENQRS,,,197
TIMES SQ-42 ST1237ACENQRS,,,359
TIMES SQ-42 ST1237ACENQRSW,,,80
TIMES SQ-42 ST1237ACENQRSW,,,147
TIMES SQ-42 ST1237ACENQRSW,,,197
TIMES SQ-42 ST1237ACENQRSW,,,359
TIMES SQ-42 STACENQRS1237,,,80
TIMES SQ-42 STACENQRS1237,,,147
TIMES SQ-42 STACENQRS1237,,,197
TIMES SQ-42 STACENQRS1237,,,359
TIMES SQ-42 STACENQRS1237W,,,80
TIMES SQ-42 STACENQRS1237W,,,147
TIMES SQ-42 STACENQRS1237W,,,197
TIMES SQ-42 STACENQRS1237W,,,359
V.CORTLANDT PK1,,,271
VAN SICLEN AV3,,,46
VAN SICLEN AVJZ,,,12
VERNON-JACKSON7,,,101
WAKEFIELD/2412,,,280
WEST FARMS SQ25,,,272
WHITEHALL S-FRYR1,,,421
WHITEHALL S-FRYR1W,,,421
WOODLAWN4,,,456
WORLD TRADE CTRACE23,,,409
23 STNRW,,,380
28 STNR,,,144
28 STNRW,,,144
30 AVNQ,,,304
30 AVNQW,,,304
42 ST-PA BUS TEACENGRS1237,,,362
74 ST-BROADWAY7EFMR,,,231
74 ST-BROADWAY7EFMR,,,438
BARCLAYS CENTER2345BDNQR,,,116
BARCLAYS CENTER2345BDNQR,,,121
BARCLAYS CENTER2345BDNQR,,,122
BARCLAYS CENTERBDNQR2345,,,116
BARCLAYS CENTERBDNQR2345,,,121
BARCLAYS CENTERBDNQR2345,,,122
CITY HALLR,,,416
LEXINGTON AVENQR456,,,49
LEXINGTON AVENQR456,,,357
LORIMER STLG,,,72
NEWKIRK PLAZABQ,,,113
SOUTH FERRY1R,,,418
WORLD TRADE CTRACE23,,,409
WTC-CORTLANDT1,,,426
